host_id,total_guests,raw_black,prop_black,any_black,past_guest_merge
42,11,0,0,0,matched (3)
2798,167,0,0,0,matched (3)
3041,19,0,0,0,matched (3)
3144,41,0,0,0,matched (3)
3852,28,0,0,0,matched (3)
4137,263,1,.0038022813,1,matched (3)
4471,106,0,0,0,matched (3)
4617,24,1,.041666668,1,matched (3)
4630,15,0,0,0,matched (3)
4645,86,0,0,0,matched (3)
4656,1,0,0,0,matched (3)
4790,7,1,.14285715,1,matched (3)
5059,475,0,0,0,matched (3)
5143,165,1,.0060606059,1,matched (3)
5159,47,1,.021276595,1,matched (3)
5288,64,4,.0625,1,matched (3)
5378,1,0,0,0,matched (3)
5640,404,0,0,0,matched (3)
5759,164,0,0,0,matched (3)
5782,107,2,.018691588,1,matched (3)
5803,73,0,0,0,matched (3)
6370,44,1,.022727273,1,matched (3)
6765,16,0,0,0,matched (3)
6829,28,0,0,0,matched (3)
7086,34,0,0,0,matched (3)
7812,18,0,0,0,matched (3)
9963,103,0,0,0,matched (3)
10293,,0,0,0,master only (1)
10592,8,0,0,0,matched (3)
10779,4,0,0,0,matched (3)
11133,11,0,0,0,matched (3)
14465,9,0,0,0,matched (3)
17569,14,0,0,0,matched (3)
17633,909,3,.0033003301,1,matched (3)
18122,90,1,.011111111,1,matched (3)
19621,84,0,0,0,matched (3)
20282,11,0,0,0,matched (3)
21048,72,0,0,0,matched (3)
21123,26,0,0,0,matched (3)
22460,155,1,.0064516128,1,matched (3)
22570,115,0,0,0,matched (3)
22803,105,1,.0095238099,1,matched (3)
23567,96,0,0,0,matched (3)
25852,1,0,0,0,matched (3)
26069,28,2,.071428575,1,matched (3)
26438,12,0,0,0,matched (3)
26860,646,8,.012383901,1,matched (3)
27353,14,3,.21428572,1,matched (3)
27537,17,0,0,0,matched (3)
27696,695,1,.0014388489,1,matched (3)
27723,7,1,.14285715,1,matched (3)
28350,166,0,0,0,matched (3)
29613,,0,0,0,master only (1)
29711,569,0,0,0,matched (3)
30840,,0,0,0,master only (1)
31242,75,1,.013333334,1,matched (3)
31306,256,0,0,0,matched (3)
32015,481,2,.0041580042,1,matched (3)
32067,250,1,.0040000002,1,matched (3)
32184,70,0,0,0,matched (3)
32491,54,0,0,0,matched (3)
33861,78,0,0,0,matched (3)
33900,7,0,0,0,matched (3)
34115,6,0,0,0,matched (3)
34312,70,0,0,0,matched (3)
34583,73,0,0,0,matched (3)
35004,225,0,0,0,matched (3)
36603,,0,0,0,master only (1)
36641,8,0,0,0,matched (3)
43394,8,0,0,0,matched (3)
44340,27,2,.074074075,1,matched (3)
45544,4,0,0,0,matched (3)
46031,188,1,.0053191488,1,matched (3)
47486,,0,0,0,master only (1)
49343,41,0,0,0,matched (3)
49391,29,0,0,0,matched (3)
49644,2,0,0,0,matched (3)
50866,388,1,.0025773195,1,matched (3)
52413,3,0,0,0,matched (3)
52722,18,1,.055555556,1,matched (3)
52968,56,0,0,0,matched (3)
55003,28,0,0,0,matched (3)
55361,114,0,0,0,matched (3)
55411,71,1,.014084507,1,matched (3)
55710,1,0,0,0,matched (3)
57103,13,0,0,0,matched (3)
57161,260,1,.0038461538,1,matched (3)
57995,48,1,.020833334,1,matched (3)
58083,88,0,0,0,matched (3)
58791,19,5,.2631579,1,matched (3)
59169,102,1,.0098039219,1,matched (3)
60057,,0,0,0,master only (1)
61244,16,1,.0625,1,matched (3)
61366,49,0,0,0,matched (3)
61692,52,0,0,0,matched (3)
61864,33,0,0,0,matched (3)
62404,191,2,.010471204,1,matched (3)
65033,21,1,.047619049,1,matched (3)
65911,185,0,0,0,matched (3)
66096,5,0,0,0,matched (3)
69350,35,2,.057142857,1,matched (3)
70344,318,3,.0094339624,1,matched (3)
71813,12,0,0,0,matched (3)
72033,42,1,.023809524,1,matched (3)
72933,37,1,.027027028,1,matched (3)
74733,64,0,0,0,matched (3)
74778,23,1,.043478262,1,matched (3)
75052,289,1,.0034602077,1,matched (3)
78344,4,0,0,0,matched (3)
78804,230,4,.017391304,1,matched (3)
79434,9,0,0,0,matched (3)
79697,22,0,0,0,matched (3)
82843,91,2,.021978023,1,matched (3)
84139,4,1,.25,1,matched (3)
84302,32,0,0,0,matched (3)
84778,,0,0,0,master only (1)
85433,283,1,.0035335689,1,matched (3)
87328,34,0,0,0,matched (3)
91136,586,2,.0034129692,1,matched (3)
91379,19,2,.10526316,1,matched (3)
93900,,0,0,0,master only (1)
94980,154,1,.0064935065,1,matched (3)
95286,7,0,0,0,matched (3)
95583,13,1,.07692308,1,matched (3)
99273,3,1,.33333334,1,matched (3)
100706,7,0,0,0,matched (3)
101928,11,0,0,0,matched (3)
102857,44,2,.045454547,1,matched (3)
104340,8,0,0,0,matched (3)
105868,41,1,.024390243,1,matched (3)
107473,96,0,0,0,matched (3)
109355,53,0,0,0,matched (3)
110003,87,1,.011494253,1,matched (3)
111799,5,0,0,0,matched (3)
112935,4,0,0,0,matched (3)
117384,18,1,.055555556,1,matched (3)
120464,74,1,.013513514,1,matched (3)
122986,127,0,0,0,matched (3)
123295,210,0,0,0,matched (3)
127369,165,1,.0060606059,1,matched (3)
128064,5,0,0,0,matched (3)
128486,11,2,.18181819,1,matched (3)
128681,43,1,.023255814,1,matched (3)
130589,15,0,0,0,matched (3)
134109,130,0,0,0,matched (3)
134327,99,2,.02020202,1,matched (3)
135271,180,0,0,0,matched (3)
135501,19,0,0,0,matched (3)
137490,397,1,.0025188916,1,matched (3)
137990,263,0,0,0,matched (3)
138459,12,0,0,0,matched (3)
138534,89,0,0,0,matched (3)
140939,227,1,.0044052862,1,matched (3)
140947,97,0,0,0,matched (3)
144559,20,0,0,0,matched (3)
144855,127,1,.0078740157,1,matched (3)
148358,529,1,.0018903592,1,matched (3)
152552,52,2,.03846154,1,matched (3)
154138,117,0,0,0,matched (3)
155261,2,0,0,0,matched (3)
157662,1,0,0,0,matched (3)
159859,90,0,0,0,matched (3)
160404,3,0,0,0,matched (3)
161516,2,0,0,0,matched (3)
162151,11,1,.090909094,1,matched (3)
164105,55,1,.018181818,1,matched (3)
164771,7,1,.14285715,1,matched (3)
164784,22,1,.045454547,1,matched (3)
165094,54,0,0,0,matched (3)
166644,64,0,0,0,matched (3)
